recipe_id,recipe_name,recipe_author,recipe_prepare_time,recipe_cook_time,recipe_serving_size,recipe_dietary_info,recipe_ingredients_only,recipe_ingredients_raw,recipe_method,recipe_type,recipe_url
50,Air fryer halloumi with roasted veg,Justine Pattison,less than 30 mins,10 to 30 mins,Serves 1,"['Egg-free', 'Pregnancy-friendly', 'Vegetarian']","['sweet potato', 'pepper', 'courgette', 'olive oil', 'red onion', 'red onion', 'cherry tomatoes', 'halloumi', 'thyme', 'black pepper', 'flatbread', 'harissa', 'harissa', 'honey', 'olive oil', 'lemon juice']","['150g/5Â½oz sweet potato, cut into 2cm/Â¾in chunks ', '1 small red pepper, seeds removed and cut into 2cm/Â¾in chunks', '1 medium courgette (around 175g/6oz), quartered lengthways and cut into 1.5cm/â\x85\x9din chunks', '1 tbsp extra virgin olive oil', 'Â½ medium red onion (or 1 very small red onion), cut into 6 wedges', '75g/2Â½oz cherry tomatoes', '110g/4oz halloumi, drained and cut into 3 slices (see Recipe Tips)', 'pinch dried thyme', 'sea salt and freshly ground black pepper', 'fresh mint leaves and warm flatbread, to serve (optional)', '2 tsp harissa, preferably rose harissa', '1 tbsp runny honey', '1 tbsp extra virgin olive oil', '1 tsp fresh lemon juice']","['Put all the vegetables (except the onion and tomatoes) in a large bowl with 2 tsp of the olive oil, a good pinch of salt and plenty of black pepper. Toss together well.', 'If necessary, preheat your air fryer at 200C for 3 minutes, or until it reaches temperature. Scatter the oiled vegetables over the crisper plate. Cook at 200C for 5 minutes, then turn or toss. ', 'Toss the onion and tomatoes with the remaining oil and scatter on top of the part-roasted vegetables. Cook for 5 minutes at 200C or until the vegetables are softened and lightly browned. ', 'Whisk all the dressing ingredients together in a small bowl and set aside.', 'Season the halloumi with black pepper and a little thyme on both sides. Toss all the vegetables together and place the halloumi on top. Cook for 4 minutes at 200C or until the halloumi is hot and lightly browned. ', 'Transfer the halloumi and vegetables to a warm dish or plate and drizzle with the dressing. Scatter with fresh mint leaves and serve with a warmed flatbread, if you like.']",Main course,www.bbc.co.uk/food/recipes/air_fryer_halloumi_with_08832
51,Air fryer harissa chicken with herby couscous ,Justine Pattison,30 mins to 1 hour,10 to 30 mins,Serves 2,"['Egg-free', 'Pregnancy-friendly']","['harissa', 'harissa', 'orange', 'honey', 'chicken breasts', 'olive oil', 'yoghurt', 'garlic', 'black pepper', 'lemon', 'couscous', 'vegetable stock', 'olive oil', 'fresh coriander']","['1 tbsp harissa paste, preferably rose harissa', 'Â½ medium orange, finely grated zest and 2 tbsp juice', '2 tbsp runny honey', '2 chicken breasts, boneless, skin removed (each around 150g/5Â½oz) ', '2 tsp extra virgin olive oil, plus extra for greasing', '150g/5Â½oz full-fat thick Greek-style yoghurt', '1 garlic clove, crushed', 'sea salt and freshly ground black pepper', 'lemon wedges, to serve (optional â\x80\x93 see tip)', '100g/3Â½oz couscous', '100ml/3Â½fl oz hot chicken or vegetable stock, made with Â½ stock cube', '1 tbsp extra virgin olive oil', '3 heaped tbsp chopped fresh coriander, parsley and mint leaves, plus extra to serve ']","['Whisk the harissa, orange zest, orange juice and honey together in a medium bowl. Add the chicken, season with a little salt and black pepper and toss together well. Cover and leave to marinate in the fridge for 30 minutes (you can miss out the marinating step if you like, but even just a few minutes adds a lot of flavour to the dish).', 'Place each chicken breast on a small sheet of oiled kitchen foil, smooth-side down, and bring up the sides to create a shallow bowl to catch the cooking juices. ', 'Place the chicken in the foil bowls in your air fryer, leaving space between them for the air to flow. Spoon any remaining marinade over each breast. Air fry at 180C for 13â\x80\x9315 minutes, or until the chicken is cooked through, turning after 6 minutes. ', 'While the chicken is cooking, tip the couscous into a heatproof bowl and stir in the hot stock. Cover and leave to stand for 5 minutes. Fluff up with a fork and mix with the olive oil, herbs and lots of ground black pepper. Set aside.', 'Mix the yoghurt and garlic together and spread over two dinner plates. Once the chicken is cooked, leave the air fryer drawer slightly ajar and allow the meat to rest for 5 minutes.', 'Place the rested chicken on top of the yoghurt and serve with the couscous, drizzled with any juices that have collected in the foil bowls. Scatter with the fresh herbs.']",Main course,www.bbc.co.uk/food/recipes/air_fryer_harissa_05790
52,Air fryer kale ,Elly Curshen,less than 30 mins,less than 10 mins,Serves 2,"['Dairy-free', 'Egg-free', 'Gluten-free', 'Healthy', 'Nut-free', 'Pregnancy-friendly', 'Vegan', 'Vegetarian']","['cavolo nero', 'olive oil', 'vinegar', 'sea salt']","['200g/7oz cavolo nero, leaves removed and washed', '1 tsp/5ml olive oil', '1 tbsp/15ml malt vinegar, plus extra to serve (optional)', 'sea salt flakes']","['Dry the cavolo leaves and transfer to a large bowl. Add the oil, vinegar and a pinch of salt. Massage everything together with your fingers for a few seconds.', 'Heat the air fryer to 190C. Cook the cavolo leaves in the air fryer for 4 minutes, shaking three times during that time. Depending on the size of your air fryer, you may need to cook the leaves in two or three batches. Add more vinegar or salt to serve, if you like.']",Side dishes,www.bbc.co.uk/food/recipes/air_fryer_kale_65871
53,Air fryer lemon chicken,Becky Excell,less than 30 mins,10 to 30 mins,Serves 3,"['Gluten-free', 'Pregnancy-friendly']","['chicken breast', 'cornflour', 'vegetable oil', 'salt', 'lemons', 'caster sugar', 'ginger', 'chilli', 'cornflour', 'rice']","['400g/14oz chicken breast mini-fillets', '70g/2Â½oz cornflour', 'vegetable oil spray, for cooking', '1 tsp salt', '2 small lemons, juice only (about 6 tbsp)', '6 tbsp caster sugar', 'Â½ tsp ginger paste', 'Â¼ tsp dried red chilli flakes, plus extra to serve', '2 tbsp cornflour', '1 spring onion, thinly sliced', 'rice']","['To make the lemon chicken, add the chicken, cornflour and salt to a large mixing bowl and toss until well coated, squeezing the chicken and compacting it with the cornflour as much as you can.', 'Heat the air fryer to 200C. Lightly spray oil into the air fryer, place your coated chicken in, spray again with oil and cook for 8â\x80\x9310 minutes, turning halfway through.', 'To make the sauce, mix the lemon juice, sugar, ginger and chilli together with 215ml/7Â¼fl oz water. Place a wok over a medium heat, add the sauce and bring to the boil, then simmer for 3â\x80\x934 minutes. ', 'Mix together the cornflour with 4 tablespoons of water. After your sauce has simmered, drizzle the cornflour and water mixture into the wok and stir in immediately. Simmer for around 3 minutes, continuing to stir, until the sauce thickens. ', 'Finally, add your crispy chicken to the wok, briefly stir and serve immediately topped with the spring onion, a few chilli flakes and some rice alongside, if you like.']",Main course,www.bbc.co.uk/food/recipes/air_fryer_lemon_chicken_94160
54,Air fryer loaded jacket potatoes,The BBC Food team,less than 30 mins,10 to 30 mins,Serves 2 (per variation),"['Egg-free', 'Nut-free', 'Pregnancy-friendly']","['potatoes', 'oil', 'olive oil', 'onion', 'garlic', 'ginger', 'chilli', 'nigella seeds', 'cumin', 'turmeric', 'spinach', 'black pepper', 'tinned tuna', 'spring onions', 'mayonnaise', 'parsley', 'lemon', 'cornichons', 'black pepper', 'cheddar', 'leek', 'butter', 'garlic and herb cream cheese', 'wholegrain mustard', 'black pepper', 'cheddar']","['2 large baking potatoes (per variation) ', 'spray oil', '1 tbsp olive oil ', '1 small onion, finely chopped', '1 garlic clove, crushed or grated  ', 'thumb-sized piece fresh root ginger, grated  ', '1 red chilli, thinly sliced', '1 tsp nigella seeds (optional)   ', 'Â½ tsp ground cumin ', '1 tsp ground turmeric ', '150g/5Â½oz frozen spinach, defrosted ', 'salt and freshly ground black pepper, to taste  ', '200g/7oz tinned tuna, drained  ', '3 spring onions, finely sliced ', '4 tbsp mayonnaise ', 'small bunch chopped fresh parsley ', 'Â½ lemon, juice only  ', '20g/Â¾oz gherkin or cornichons, diced ', 'salt and freshly ground black pepper ', '50g/1Â¾oz cheddar, grated   ', '1 leek, thinly sliced', '25g/1oz butter ', '80g/2Â¾oz garlic and herb cream cheese ', '1 tsp wholegrain mustard ', 'salt and freshly ground black pepper ', '75g/2Â½oz cheddar ']","['For the potatoes, pierce the potatoes a couple of times with a sharp knife or fork. Cook for 15 minutes in an 800W microwave.â\x80¯  ', 'Once cooked, allow the potatoes to stand for 1 minute before cutting them in half. Using a spoon, scoop out the insides into a medium-sized bowl and leave to one side.  ', 'Take the skins and place them in the air fryer cut-side down and spray with a little oil spray. Cook at 180C for 7 minutes in the air fryer (alternatively preheat an oven to 180C/160C Fan/Gas 4 and cook for 10 minutes) while you prep the filling of your choice. ', 'To make the saag aloo loaded jacket potatoes, heat up the olive oil in a pan over a medium heat. Add the onion and cook for 3 minutes before adding the garlic, ginger and half of the red chilli. Cook for 1 more minute until fragrant.  ', 'Add the nigella seeds, cumin, turmeric, and salt and freshly ground black pepper to the pan and cook for 1 minute. Add this mixture to the bowl of potatoes along with the spinach, then taste and adjust the seasoning if needed.  ', 'Spoon the mixture into the potato skins and cook in the air fryer for 10 minutes, or under the grill for 15 minutes until golden-brown and crisp. Serve with the other half of the red chilli sprinkled over.  ', 'To make the tuna melt loaded jacket potatoes, mix together all the tuna melt ingredients except the cheese in a bowl. Add the reserved scooped out potato. Taste and add more salt and pepper if necessary, and mix again. Spoon the tuna mixture back into the potato skins and top with the grated cheddar.', 'Place in the air fryer (or under a hot grill) and cook for about 8-10 minutes, or until the cheese has melted.â\x80¯Serve. ', 'To make the cheesy leek loaded jacket potatoes, melt the butter in a frying pan over a high heat. Tip the leeks into the hot pan and reduce the heat to medium. Cook the leeks until soft then season with salt and pepper. ', 'Add the leeks, cream cheese, mustard, and half of the cheddar to the scooped out potato in a bowl and give it a good mix. Scoop the filling into the potato skins and sprinkle with the rest of the cheddar.â\x80¯  ', 'Return to the air fryer and cook for 10 minutes (or in the oven as per instructions above) and cook for 15 minutes, or until the cheese has melted and gone slightly golden-brown. Serve. ']",Main course,www.bbc.co.uk/food/recipes/loaded_jacket_potatoes_15248
55,Air fryer meatballs with cherry tomato sauce,Philippa Davis,less than 30 mins,30 mins to 1 hour,Serves 4,,"['breadcrumbs', 'milk', 'egg', 'beef mince', 'parsley', 'basil', 'feta', 'garlic', 'cherry tomatoes', 'shallot', 'olive oil', 'balsamic vinegar', 'black pepper', 'spaghetti', 'butter', 'parsley', 'basil', 'feta']","['80g/2Â¾oz breadcrumbs ', '2 tbsp milk ', '1 medium free-range egg ', '500g/1lb 2oz beef mince ', '2 tbsp finely chopped fresh parsley', '2 tbsp finely chopped fresh basil ', '100g/3Â½oz feta', '2 garlic cloves, peeled and cut in half ', '400g/14oz cherry tomatoes, cut in half lengthways ', '1 medium shallot, finely chopped (approx. 50g/1Â¾oz) ', '1 tbsp olive oil ', '1 tbsp balsamic vinegar', 'salt and freshly ground black pepper ', '400g/14oz dried spaghetti ', '2 tbsp butter ', '1 tbsp roughly chopped fresh parsley', '1 tbsp roughly chopped fresh basil', '50g/1Â¾oz feta, crumbled  ']","['To make the meatballs, mix together the breadcrumbs, milk and egg in a large bowl. Add the beef, parsley and basil then crumble in the feta. Season with salt and pepper and mix well before shaping into 16 balls.', 'Preheat the air fryer to 200C. Pull out the basket and line with an air fryer paper tray, or use baking paper to form a low-sided base.  ', 'To make the sauce, place the garlic, cherry tomatoes and shallots on the lined tray. Season with salt and pepper, then drizzle with the olive oil and balsamic vinegar. ', 'Air fry for 25 minutes, shaking the vegetables at the halfway point. ', 'Once cooked, carefully tip the vegetables into a large bowl, discard the paper then use a stick blender to blend until smooth. Alternatively, blend in a food processor. Transfer the sauce to a small pan and keep warm over a low heat; leave the air fryer on.', 'Place the meatballs into the air fryer, spacing them out evenly, and cook for 10â\x80\x9312 minutes or until cooked through.', 'Meanwhile, cook the spaghetti according to packet instructions. Drain and stir through the butter.  ', 'To serve, pile the spaghetti onto a plate and top with the meatballs and sauce. Garnish with a sprinkle of chopped parsley, basil and a little crumbled feta. ']",Main course,www.bbc.co.uk/food/recipes/air_fryer_meatballs_with_36992
56,Air fryer mozzarella sticks,Rachel Phipps,30 mins to 1 hour,10 to 30 mins,Serves 3â4,"['Nut-free', 'Vegetarian']","['mozzarella', 'plain flour', 'garlic', 'egg', 'panko breadcrumbs', 'olive oil']","['400g block mozzarella cucina', '2 tbsp plain flour', '1 tsp garlic granules', '1 large free-range egg', '40g/1Â½oz panko breadcrumbs', 'olive oil cooking spray', 'salt and freshly ground black pepper']","['Cut the mozzarella into strips, roughly 1.5cm/â\x85\x9din wide, and pat dry using kitchen paper.', 'In a shallow dish, mix together the flour and the garlic granules. In another dish, beat the egg with a generous amount of salt and pepper. Spread the breadcrumbs in a third dish. ', 'Roll the mozzarella strips in flour, then in egg, then in flour and egg again, to create a double coating. Make sure each piece is totally covered in flour each time; any gaps will cause the mozzarella sticks to leak in the air fryer. Coat well in the panko breadcrumbs. ', 'Freeze for at least 30 minutes until solid. ', 'Spray the bottom of the air fryer basket with olive oil spray and arrange a single layer of mozzarella sticks in the bottom. Spray the top of the mozzarella sticks with oil before air-frying for 10 minutes at 200C. Repeat until all the mozzarella sticks are cooked, keeping each batch warm, then serve immediately.']",Starters & nibbles,www.bbc.co.uk/food/recipes/air_fryer_mozzarella_99406
57,Air fryer mushrooms ,Justine Pattison,less than 30 mins,10 to 30 mins,Serves 2,,"['sunflower oil', 'butter', 'garlic', 'parsley', 'black pepper', 'bread']","['300g/10Â½oz chestnut or closed cup mushrooms, halved or quartered if large', '1 tbsp olive or sunflower oil', '40g/1Â½ oz chilled butter, cut into small cubes', '2 garlic cloves, crushed', 'small bunch fresh parsley, finely chopped, plus extra to serve', 'sea salt and freshly ground black pepper', 'crusty bread, to serve']","['Toss the mushrooms in a large bowl with the oil, a little salt and lots of ground black pepper. Place the air fryer crisper plate (grill pan/tray) inside your air fryer drawer (basket) and scatter the mushrooms on top in a single layer. Cook at 200C for 5 minutes. Shake the drawer to turn the mushrooms and cook for a further 3 minutes at 200C, or until the mushrooms are lightly browned and just tender.', 'Meanwhile, toss the butter, garlic and parsley together in a small bowl. Scatter the garlicky butter cubes over the top of the mushrooms, return to the air fryer and cook at 200C for 2 minutes, or until the butter melts.', 'To serve, divide the mushrooms between two warmed dishes, or a shallow bowl for sharing. Carefully remove the crisper plate from the air fryer drawer and pour the melted butter over them. Add a few extra sprigs of parsley to garnish. Serve with crusty bread for mopping up the garlicky juices.']",Side dishes,www.bbc.co.uk/food/recipes/air_fryer_mushrooms_21121
58,Air fryer parsnips and carrots with chilli honey,Poppy O'Toole,less than 30 mins,10 to 30 mins,Serves 4,"['Egg-free', 'Gluten-free', 'Nut-free', 'Pregnancy-friendly', 'Vegetarian']","['honey', 'dried chilli', 'garlic', 'parsnips', 'carrots', 'butter', 'black pepper']","['2 tbsp runny honey', '1 tsp dried chilli flakes, plus extra to sprinkle', '1 garlic clove, crushed', '2 large parsnips, trimmed, peeled and quartered ', '2 carrots, peeled and sliced in half lengthways', '1 tsp butter, melted', 'salt and freshly ground black pepper ']","['Put the honey and chilli flakes into a small saucepan over medium heat and warm them up until the honey has turned slightly red. Add the garlic and set aside. ', 'Heat the air fryer to 180C. ', 'Put the parsnips and carrots in a bowl and drizzle over the melted butter and the chilli honey. Toss them together so the parsnips and carrots are fully coated (retain any honey left in the bowl as we will use it to glaze later).', 'Add the parsnips and carrots to the air fryer basket and cook for 8 minutes, then give them a toss and glaze with any of the chilli honey that was remaining in the bowl. Season with salt and pepper.', ""Return the parsnips and carrots to the air fryer for another 8 minutes, until they are well glazed and golden. If you think at this point they aren't tender and cooked through, keep cooking, checking on them in 4-minute intervals. Sprinkle with extra chilli flakes to serve. ""]",Side dishes,www.bbc.co.uk/food/recipes/air_fryer_parsnips_94114
59,Air fryer parsnips with cinnamon and orange,Philippa Davis,less than 30 mins,10 to 30 mins,Serves 4 as a side dish,"['Dairy-free', 'Egg-free', 'Gluten-free', 'Nut-free', 'Pregnancy-friendly', 'Vegan', 'Vegetarian']","['parsnips', 'olive oil', 'cinnamon', 'orange', 'demerara sugar']","['2 medium parsnips (about 350g/12oz) ', '1 tbsp olive oil ', '1 tsp ground cinnamon ', '1 orange, zested, plus 1 tbsp of the juice ', '1 tsp demerara sugar ']","['Heat the air fryer to 180C. ', 'Peel the parsnips and trim off the top and bottom. Cut in half to separate the thinner and chunkier section of each parsnip. ', 'Cut the thinner ends lengthways into four equal sticks and the chunkier ends lengthways into six equal sticks. (You want to make all pieces roughly the same size so they cook evenly â\x80\x93 if any of your parsnips are particularly chunky, you may need to cut each section into more sticks.)', 'Put the parsnips in a large bowl and season with salt and pepper. Add the olive oil, ground cinnamon, orange zest and juice and the sugar. Toss well, spread in your air fryer in a single layer and top with any leftover seasoning from the bowl.  ', 'Cook for 18â\x80\x9320 minutes, giving them a little shake after 10 minutes, until crispy and caramelised on the outside and tender in the middle.  ']",Side dishes,www.bbc.co.uk/food/recipes/air_fryer_parsnips_with_67761
60,Air fryer pasties,Jules Mercer,less than 30 mins,10 to 30 mins,Makes 4,['Nut-free'],"['flour', 'butter', 'egg', 'vegetables', 'roast beef', 'beef stock', 'egg', 'cranberry sauce', 'pepper']","['275g/9Â¾oz flour, plus extra to dust ', '150g/5Â½oz unsalted butter, cut into chunks', '1 free-range egg ', '375g/13oz leftover roast vegetables (such as potatoes, swede or carrots)', '75â\x80\x93100g/2Â½â\x80\x933Â½oz leftover roast beef or chicken', '100ml/3Â½fl oz beef gravy (alternatively, mix 100ml/3Â½fl oz hot beef stock with 2 tsp cornflour)', '1 free-range egg, beaten', '1 tbsp mustard, horseradish or cranberry sauce (optional)', 'salt and freshly ground black pepper']","['To make the pastry, add the flour, butter and a little salt and pepper to a food processor and blend until it resembles fine breadcrumbs. Add the egg and one tablespoon of water, then pulse to bring the dough together, adding more water if necessary, one tablespoon at a time.', 'Bring the pastry together, wrap in cling film and place in the fridge for 20 minutes. ', 'To make the filling, mix the vegetables, meat and gravy together in a bowl and taste to check the seasoning. Add salt and pepper, if needed, then set aside.', 'Lightly dust a work surface with flour. Roll out the pastry to a thickness of 5mm/Â¼in. Use a side plate or small bowl turned upside down to cut the pastry into 4 18cm diameter circles.', 'Divide the filling between the rounds, spooning it onto one half of the circle. Brush the edges with beaten egg, fold over one half of the round to create a half moon pasty shape, press the edges of pastry together well to seal. Use a fork or crimp the pastry in any style you like. Brush with the egg wash.', 'Preheat the air fryer to 180C.', 'Place the pasties in the base of the tray (do this in two batches if they donâ\x80\x99t fit). Bake for 15â\x80\x9320 minutes until the pastry is golden.']",Light meals & snacks,www.bbc.co.uk/food/recipes/air_fryer_pasties_03322
61,Air fryer peach turnovers ,Bianca Nice,30 mins to 1 hour,10 to 30 mins,Makes 4,"['Pregnancy-friendly', 'Vegetarian']","['peaches', 'dates', 'rosemary', 'caster sugar', 'orange', 'plain flour', 'puff pastry', 'egg', 'icing sugar', 'rosemary', 'orange', 'almonds']","['4 ripe peaches, stones removed, roughly chopped', '4 dates, stones removed, roughly chopped', '1 sprig fresh rosemary, leaves finely chopped', '2 tbsp caster sugar', '1 orange, grated zest and juice', 'plain flour, for dusting', '500g block readymade puff pastry ', '1 free-range egg, beaten', '4 tbsp icing sugar', 'Â½ tsp finely chopped fresh rosemary leaves', 'Â½ orange, juice only', '2 tbsp toasted almonds ']","['Put the peaches, dates, rosemary, a tablespoon of caster sugar, the orange juice and half the zest into a heatproof dish that fits into your air fryer. ', 'Air-fry for 10 minutes, stirring a couple of times, until the peaches just start to break down. Set aside to cool.', 'Preheat the air fryer to 180C.', 'Once the filling is cool, lightly dust a work surface with flour. Roll out the puff pastry to make a square roughly 34x34cm/13Â½x13Â½in. Cut this into four smaller squares.', 'Spoon a quarter of the peach filling into the corner of each square. Brush the edges with beaten egg, then bring one corner over to meet the other, creating a triangle shape and covering the filling. Use a fork to press down and seal the edges.', 'Brush each turnover with beaten egg and sprinkle over the remaining caster sugar.', 'Air-fry for 10 minutes, then flip over and cook for a further 5 minutes. ', 'While the turnovers are cooking, make the topping. Mix together the icing sugar, rosemary and about 2 teaspoons of the orange juice to make a thick smooth paste that you can drizzle.', 'Once the turnovers have cooled slightly, use a spoon or piping bag to drizzle the topping over in thin lines. Scatter over the toasted almonds and serve.']",Desserts,www.bbc.co.uk/food/recipes/air_fryer_peach_65506
62,Air fryer peanut chicken,Justine Pattison,30 mins to 1 hour,less than 10 mins,Serves 2,"['Egg-free', 'Gluten-free', 'Pregnancy-friendly']","['sunflower oil', 'lime', 'peanut butter', 'honey', 'soy sauce', 'lime juice', 'sesame oil', 'peanut butter', 'garlic', 'ginger', 'soy sauce', 'honey', 'lime juice', 'chilli', 'rice', 'spring onions', 'chilli']","['350g/12oz chicken mini fillets', 'sunflower oil, for greasing', 'lime wedges, for squeezing', '15g/Â½oz crunchy peanut butter ', '1 tbsp runny honey', '1 tbsp rich dark soy sauce (gluten-free if required)', '2 tsp lime juice', '1 tsp sesame oil', '70g/2Â½oz crunchy peanut butter ', '1 garlic clove, crushed', '1 tsp finely grated fresh root ginger ', '1Â½ tsp rich dark soy sauce', '1 tsp runny honey', '1 tsp lime juice', 'small pinch chilli flakes', 'rice', 'spring onions, sliced', 'red chilli (optional)']","['For the marinade, whisk all the ingredients together in a medium bowl until well combined. Add the chicken, stir well and leave to marinate in the fridge for 30 minutes. Meanwhile, soak 8 short bamboo skewers in cold water. ', 'While the chicken is marinating, put all the ingredients for the sauce in a small saucepan with 100ml/3Â½fl oz cold water. Bring to a simmer, stirring constantly until well combined and the peanut butter has fully dissolved. As soon as the sauce begins to thicken, remove from the heat.', 'If necessary, preheat your air fryer at 200C for 3 minutes, or until it reaches temperature. Thread the marinated chicken onto the skewers (not too tightly) and reserve any leftover marinade.', 'Brush the crisper plate generously with sunflower oil to help prevent the chicken from sticking. Arrange the chicken skewers on the crisper plate, leaving space between each one for the air to flow. Cook at 200C for 3 minutes.', 'Turn the chicken pieces over, brush with a little of the reserved marinade and return to the air fryer. Cook at 200C for a further 3 minutes, or until the chicken is nicely browned and cooked through. Return the chicken to the air fryer and cook for a little longer, if you need to.', 'Serve the chicken skewers with freshly cooked rice tossed with sliced spring onions, the peanut sauce and lime wedges for squeezing over. Add a sprinkling of red chilli, if you like.']",Main course,www.bbc.co.uk/food/recipes/air_fryer_peanut_chicken_84278
63,Air fryer pizza,Jules Mercer,less than 30 mins,30 mins to 1 hour,Makes 4 pizzas,"['Egg-free', 'Nut-free', 'Pregnancy-friendly', 'Vegetarian']","['tomatoes', 'self-raising flour', 'baking powder', 'salt', 'yoghurt', 'olive oil', 'artichoke', 'mozzarella', 'rocket']","['400g tin plum tomatoes', '300g/10Â½oz self-raising flour, plus extra for dusting', '1 tsp baking powder', 'Â½ tsp salt', '300g/10Â½oz plain yoghurt', '4 sprays olive oil spray', 'toppings of your choice, such as olives, sliced red onion, artichoke or ham (optional)', '200g/7oz firm mozzarella cheese, grated ', 'rocket leaves, to serve (optional)']","['Empty the tomatoes into a sieve over a bowl and squish them with a spoon or your hands to break them up slightly. Set aside to drain for 10 minutes. (The drained juice can be used for another recipe â\x80\x93 see Recipe Tip.) Set aside the drained tomatoes in a bowl.  ', 'Meanwhile, mix together the flour, baking powder and salt in a bowl. Add the yoghurt and mix with a knife or your hands to form a soft dough. Divide into four pieces. ', 'Roll each piece out on a well-floured surface to a circle that fits in the air fryer (this will be around 20cm/8in in diameter for a 5.5 litre/9Â½ pint single basket air fryer).', 'Preheat the air fryer to 205C. Lay one pizza base on the rack of the air fryer and spray with olive oil spray once, then prick with a fork a few times. Cook for 3 minutes. Remove, flip over and return to the air-fryer for another 2 minutes. ', 'Take out the basket, place on a wooden board and spread a quarter of the drained tomatoes over the pizza. Add your choice of toppings, followed by a quarter of the mozzarella. Any toppings that need to cook (such as onion slices) should go on top of the cheese so that they meet the heat first.', 'Cook for 4 minutes until the cheese is bubbling and the base is crispy. Remove and repeat with the remaining pizzas. Top each pizza with rocket leaves (if using) and serve. ']",Main course,www.bbc.co.uk/food/recipes/air_fryer_pizza_15299
64,Air fryer pork chops,Nathan Anthony,less than 30 mins,10 to 30 mins,Serves 4,"['Dairy-free', 'Egg-free', 'Gluten-free', 'Healthy', 'Pregnancy-friendly']","['pork chops', 'vegetable oil', 'paprika', 'seasoning', 'onion', 'garlic', 'parsley', 'peppercorns', 'salt']","['4 pork chops ', '1â\x80\x932 tbsp vegetable oil or a few sprays of low-calorie cooking oil spray', '1 tbsp paprika ', '1 tsp American burger seasoning', '1 tsp onion granules ', '1 tsp garlic granules', '1 tsp dried parsley', '1 tsp crushed peppercorns ', 'salt']","['Preheat the air fryer to 200C.', 'Dry the chops with kitchen paper then put them in a bowl and coat in the oil. Add all the seasonings and mix well to coat.', 'Cook in the air fryer for 10â\x80\x9312 minutes, or 14 minutes if the chops are extra-large.', 'Serve immediately with couscous, corn on the cob and salad, or the sides of your choice.']",Main course,www.bbc.co.uk/food/recipes/air_fryer_peppered_pork_68056
65,Air fryer pork steak sandwich,Jules Mercer,less than 30 mins,10 to 30 mins,Serves 2,"['Nut-free', 'Pregnancy-friendly']","['red onion', 'lemon juice', 'caster sugar', 'plain flour', 'egg', 'panko breadcrumbs', 'pork loin steaks', 'olive oil', 'apple', 'black pepper', 'lettuce', 'bread rolls', 'mayonnaise']","['Â½ red onion, sliced into 1cm/Â¾in rings', '1 tbsp white vinegar or lemon juice', '1 tsp caster sugar', '2 tbsp plain flour', '1 free-range large egg, beaten', '50g/1Â¾oz panko breadcrumbs', '2 pork loin steaks (about 150â\x80\x93200g/5Â½â\x80\x937oz each)', 'olive oil spray, for frying', '1 small green or red apple, cored and sliced into 1cm/Â¾in rounds', 'salt and freshly ground black pepper', 'chopped lettuce, to serve (optional)', '2 burger buns or bread rolls, split, to serve', 'mayonnaise, to serve (optional)']","['To make the pickled onions, mix the onion, vinegar and caster sugar together in a small bowl. Set aside to pickle. ', 'Heat the air fryer to 200C. To make the sandwiches, spread the flour out on a large plate and season well with salt and pepper. Place the egg in a bowl and spread the breadcrumbs out on another large plate.', 'Dip a pork steak in the flour, then the egg, and finally the breadcrumbs. Double dip on the top and bottom of the pork steak for a thicker, crispy coating. Repeat with the other steak. ', 'Spray the steaks a few times with the oil spray, then lay the two steaks on the rack in the air fryer and place half of the apple slices around them. ', 'Cook for 5 minutes, then flip the steaks (if the apple slices are cooked by this point, remove and set aside until serving). Cook for another 4â\x80\x938 minutes on the other side, depending on the thickness of the pork. It should take a total of 12 minutes for a 3cm/1Â¼in thick piece of pork and approximately 8 minutes for a 2cm/Â¾in thick piece of pork. ', 'To serve, place some lettuce, if using, in the buns, then layer with slices of the steak or whole pork steaks. Top with the pickled onion, roasted apple slices and the mayonnaise, if using. Serve immediately. ']",Light meals & snacks,www.bbc.co.uk/food/recipes/air_fryer_pork_steak_41284
66,Air fryer potato wedges ,Justine Pattison,less than 30 mins,10 to 30 mins,Serves 2,"['Dairy-free', 'Egg-free', 'Gluten-free', 'Nut-free', 'Pregnancy-friendly', 'Vegan', 'Vegetarian']","['floury potato', 'black pepper']","['1 large floury potato, preferably Maris Piper, around 275g/9Â¾oz ', '1 tbsp sunflower or vegetable oil', 'Â½ heaped tsp Cajun spice mix ', 'sea salt and freshly ground black pepper']","['Put the potato on a board and cut in half lengthways. Halve each half lengthways again. Cut each quarter into three wedges to make 12 potato wedges in total. Transfer the potato wedges to a bowl and add the oil, spice mix, a good pinch of salt and plenty of freshly ground black pepper. Toss together well.', 'Place the air fryer crisper plate (grill pan/tray) inside your air fryer drawer (basket). Preheat at 200C for 3 minutes. Put the potatoes in a single layer on the crisper plate, taking care not to overcrowd. Cook at 180C for 10 minutes. Toss or turn the potatoes and cook for a further 5 minutes at 180C, or until tender, crisp and golden. Serving quickly is key for these wedges, so the steam released from the freshly cooked potatoes doesnâ\x80\x99t get a chance to soften them.']",Side dishes,www.bbc.co.uk/food/recipes/air_fryer_potato_wedges_07071
